1	1	8062692	8062700	9
1	1	8062693	8062701	9
-1	1	12292432	12292434	3
-1	1	16894742	16894743	2
1	1	19609941	19609947	7
1	1	19609942	19609948	7
1	1	23953474	23953479	6
1	1	24129905	24129908	4
1	2	678492	678495	4
1	2	678493	678496	4
1	2	1977467	1977472	6
1	2	5644234	5644237	4
1	2	8204362	8204365	4
1	2	8204363	8204366	4
1	2	8790560	8790564	5
1	2	9019898	9019901	4
-1	2	11732543	11732544	2
1	2	11744329	11744332	4
-1	2	11855194	11855195	2
-1	2	11855192	11855193	2
1	3	4523738	4523741	4
1	3	5653338	5653341	4
1	3	8299912	8299915	4
1	3	8299913	8299916	4
1	3	9000793	9000795	3
1	3	21883426	21883431	6
1	3	21883427	21883432	6
1	3	21883428	21883433	6
-1	4	194199	194202	4
-1	4	821480	821481	2
-1	4	1071539	1071540	2
-1	4	6073912	6073914	3
1	4	7108738	7108744	7
1	4	7108739	7108745	7
1	4	10501314	10501315	2
1	4	10501311	10501313	3
1	4	11620397	11620404	8
1	4	13806667	13806670	4
-1	4	15889163	15889164	2
1	4	16951726	16951728	3
1	4	18428414	18428421	8
1	4	18428415	18428422	8
1	4	18439093	18439096	4
